hero1_nick;hero2_nick;hero1_name;hero2_name
FIRESTAR;NOVA;ANGELICA JO;RICHARD RIDER
HULK;NOVA;DR. ROBERT BRUC;RICHARD RIDER
NOVA;SPIDER-MAN;RICHARD RIDER;PETER PAR
FIRESTAR;SPIDER-MAN;ANGELICA JO;PETER PAR
HULK;SPIDER-MAN;DR. ROBERT BRUC;PETER PAR
FIRESTAR;HULK;ANGELICA JO;DR. ROBERT BRUC
FIRESTAR;HULK;ANGELICA JO;DR. ROBERT BRUC
FIRESTAR;NOVA;ANGELICA JO;RICHARD RIDER
HULK;NOVA;DR. ROBERT BRUC;RICHARD RIDER
QUICKSILVER;WASP;PIETRO M;JANET VAN DYNE 
QUICKSILVER;SILVER SURFER;PIETRO M;NORRIN
HAWK;QUICKSILVER;;PIETRO M
QUICKSILVER;SCARLET WITCH;PIETRO M;WANDA 
IRON MAN;QUICKSILVER;TONY STARK ;PIETRO M
IRON MAN;WASP;TONY STARK ;JANET VAN DYNE 
IRON MAN;SILVER SURFER;TONY STARK ;NORRIN
HAWK;IRON MAN;;TONY STARK 
IRON MAN;SCARLET WITCH;TONY STARK ;WANDA 
SCARLET WITCH;WASP;WANDA ;JANET VAN DYNE 
SCARLET WITCH;SILVER SURFER;WANDA ;NORRIN
HAWK;SCARLET WITCH;;WANDA 
HAWK;WASP;;JANET VAN DYNE 
HAWK;SILVER SURFER;;NORRIN
SILVER SURFER;WASP;NORRIN;JANET VAN DYNE 
CAPTAIN AMERICA;CYCLOPS;;SCOTT SUMMER
CYCLOPS;NOVA;SCOTT SUMMER;RICHARD RIDER
CYCLOPS;WONDER MAN;SCOTT SUMMER;SIMON WIL
CYCLOPS;WOLVERINE;SCOTT SUMMER;LOGAN 
CYCLOPS;SHE-HULK;SCOTT SUMMER;JENNIFER WA
CYCLOPS;SILVER SURFER;SCOTT SUMMER;NORRIN
CYCLOPS;VISION ;SCOTT SUMMER;
CYCLOPS;PSYLOCKE;SCOTT SUMMER;ELISABETH B
CYCLOPS;MARVEL GIRL;SCOTT SUMMER;JEAN GRE
CYCLOPS;STORM;SCOTT SUMMER;ORORO MUNROE S
CYCLOPS;MR. FANTASTIC;SCOTT SUMMER;REED R
ANGEL;CYCLOPS;WARREN KENNETH;SCOTT SUMMER
CYCLOPS;IRON MAN;SCOTT SUMMER;TONY STARK 
BLACK PANTHER;CYCLOPS;T'CHAL;SCOTT SUMMER
CYCLOPS;SCARLET WITCH;SCOTT SUMMER;WANDA 
CYCLOPS;THING;SCOTT SUMMER;BENJAMIN J. GR
CYCLOPS;INVISIBLE WOMAN;SCOTT SUMMER;SUE 
CYCLOPS;HULK;SCOTT SUMMER;DR. ROBERT BRUC
BEAST;CYCLOPS;HENRY &HANK& P;SCOTT SUMMER
BEAST;CAPTAIN AMERICA;HENRY &HANK& P;
BEAST;NOVA;HENRY &HANK& P;RICHARD RIDER
BEAST;WONDER MAN;HENRY &HANK& P;SIMON WIL
BEAST;WOLVERINE;HENRY &HANK& P;LOGAN 
BEAST;SHE-HULK;HENRY &HANK& P;JENNIFER WA
BEAST;SILVER SURFER;HENRY &HANK& P;NORRIN
BEAST;VISION ;HENRY &HANK& P;
BEAST;PSYLOCKE;HENRY &HANK& P;ELISABETH B
BEAST;MARVEL GIRL;HENRY &HANK& P;JEAN GRE
BEAST;STORM;HENRY &HANK& P;ORORO MUNROE S
BEAST;MR. FANTASTIC;HENRY &HANK& P;REED R
ANGEL;BEAST;WARREN KENNETH;HENRY &HANK& P
BEAST;IRON MAN;HENRY &HANK& P;TONY STARK 
BEAST;BLACK PANTHER;HENRY &HANK& P;T'CHAL
BEAST;SCARLET WITCH;HENRY &HANK& P;WANDA 
BEAST;THING;HENRY &HANK& P;BENJAMIN J. GR
BEAST;INVISIBLE WOMAN;HENRY &HANK& P;SUE 
BEAST;HULK;HENRY &HANK& P;DR. ROBERT BRUC
CAPTAIN AMERICA;HULK;;DR. ROBERT BRUC
HULK;NOVA;DR. ROBERT BRUC;RICHARD RIDER
HULK;WONDER MAN;DR. ROBERT BRUC;SIMON WIL
HULK;WOLVERINE;DR. ROBERT BRUC;LOGAN 
HULK;SHE-HULK;DR. ROBERT BRUC;JENNIFER WA
HULK;SILVER SURFER;DR. ROBERT BRUC;NORRIN
HULK;VISION ;DR. ROBERT BRUC;
HULK;PSYLOCKE;DR. ROBERT BRUC;ELISABETH B
HULK;MARVEL GIRL;DR. ROBERT BRUC;JEAN GRE
HULK;STORM;DR. ROBERT BRUC;ORORO MUNROE S
HULK;MR. FANTASTIC;DR. ROBERT BRUC;REED R
ANGEL;HULK;WARREN KENNETH;DR. ROBERT BRUC
HULK;IRON MAN;DR. ROBERT BRUC;TONY STARK 
BLACK PANTHER;HULK;T'CHAL;DR. ROBERT BRUC
HULK;SCARLET WITCH;DR. ROBERT BRUC;WANDA 
HULK;THING;DR. ROBERT BRUC;BENJAMIN J. GR
HULK;INVISIBLE WOMAN;DR. ROBERT BRUC;SUE 
CAPTAIN AMERICA;INVISIBLE WOMAN;;SUE 
INVISIBLE WOMAN;NOVA;SUE ;RICHARD RIDER
INVISIBLE WOMAN;WONDER MAN;SUE ;SIMON WIL
INVISIBLE WOMAN;WOLVERINE;SUE ;LOGAN 
INVISIBLE WOMAN;SHE-HULK;SUE ;JENNIFER WA
INVISIBLE WOMAN;SILVER SURFER;SUE ;NORRIN
INVISIBLE WOMAN;VISION ;SUE ;
INVISIBLE WOMAN;PSYLOCKE;SUE ;ELISABETH B
INVISIBLE WOMAN;MARVEL GIRL;SUE ;JEAN GRE
INVISIBLE WOMAN;STORM;SUE ;ORORO MUNROE S
INVISIBLE WOMAN;MR. FANTASTIC;SUE ;REED R
ANGEL;INVISIBLE WOMAN;WARREN KENNETH;SUE 
INVISIBLE WOMAN;IRON MAN;SUE ;TONY STARK 
BLACK PANTHER;INVISIBLE WOMAN;T'CHAL;SUE 
INVISIBLE WOMAN;SCARLET WITCH;SUE ;WANDA 
