hero1_nick,hero2_nick,weight
HUMAN TORCH,THING,1.0
HUMAN TORCH,MR. FANTASTIC,0.9582772543741588
MR. FANTASTIC,THING,0.9515477792732167
INVISIBLE WOMAN,MR. FANTASTIC,0.9421265141318977
HUMAN TORCH,INVISIBLE WOMAN,0.9327052489905787
INVISIBLE WOMAN,THING,0.8977119784656796
SPIDER-MAN,"WATSON-PARKER, MARY ",0.8277254374158816
"JAMESON, J. JONAH",SPIDER-MAN,0.7065948855989233
CAPTAIN AMERICA,IRON MAN,0.5989232839838493
SCARLET WITCH,VISION ,0.566621803499327
ANT-MAN,WASP,0.5450874831763123
CYCLOPS,MARVEL GIRL,0.5235531628532974
STORM,WOLVERINE,0.522207267833109
CAPTAIN AMERICA,THOR,0.5181695827725438
CAPTAIN AMERICA,VISION ,0.5168236877523553
CAPTAIN AMERICA,WASP,0.5154777927321669
"PARKER, MAY",SPIDER-MAN,0.5100942126514132
CAPTAIN AMERICA,SCARLET WITCH,0.5020188425302826
IRON MAN,SCARLET WITCH,0.4993270524899058
"ROBERTSON, JOE",SPIDER-MAN,0.477792732166891
IRON MAN,THOR,0.4616419919246299
COLOSSUS II,STORM,0.4616419919246299
ANGEL,ICEMAN,0.44952893674293404
IRON MAN,VISION ,0.4468371467025572
COLOSSUS II,WOLVERINE,0.44414535666218036
CAPTAIN AMERICA,HAWK,0.43203230148048455
BEAST,ICEMAN,0.42799461641991926
BEAST,CYCLOPS,0.4253028263795424
ANGEL,BEAST,0.414535666218035
ICEMAN,MARVEL GIRL,0.414535666218035
CYCLOPS,PROFESSOR X,0.41318977119784656
BEAST,MARVEL GIRL,0.41184387617765816
COLOSSUS II,NIGHTCRAWLER,0.4064602960969044
BUCKY,CAPTAIN AMERICA,0.4037685060565276
IRON MAN,WASP,0.4037685060565276
HAWK,SCARLET WITCH,0.4037685060565276
CYCLOPS,ICEMAN,0.40107671601615075
ANT-MAN,CAPTAIN AMERICA,0.39569313593539707
HAWK,IRON MAN,0.3943472409152086
ANGEL,CYCLOPS,0.39300134589502017
ANT-MAN,IRON MAN,0.39030955585464333
"JAMESON, J. JONAH","ROBERTSON, JOE",0.3835800807537012
ANGEL,MARVEL GIRL,0.3822341857335128
CYCLOPS,WOLVERINE,0.3714670255720054
NIGHTCRAWLER,SHADOWCAT,0.37012113055181695
SCARLET WITCH,WASP,0.36608344549125166
HAWK,WASP,0.360699865410498
NIGHTCRAWLER,WOLVERINE,0.35800807537012114
ODIN [ASGARDIAN],THOR,0.3566621803499327
ANT-MAN,HAWK,0.35262449528936746
PROFESSOR X,STORM,0.34993270524899056
SCARLET WITCH,WONDER MAN,0.34993270524899056
CYCLOPS,STORM,0.34993270524899056
DAREDEVIL,"NELSON, FRANKLIN FOG",0.34993270524899056
THOR,VISION ,0.34185733512786004
SCARLET WITCH,THOR,0.3405114401076716
VISION ,WASP,0.3405114401076716
HAWK,VISION ,0.3391655450874832
NIGHTCRAWLER,STORM,0.3351278600269179
"LEEDS, BETTY BRANT",SPIDER-MAN,0.33378196500672946
"BANNER, BETTY ROSS T",HULK,0.33378196500672946
IRON MAN,WONDER MAN,0.33378196500672946
PROFESSOR X,WOLVERINE,0.33243606998654107
ANT-MAN,SCARLET WITCH,0.32705248990578734
