MCODE App Results
Date: 20 cze 2021, 13:56:09

Parameters:
   Network Scoring:
      Include Loops: false  Degree Cutoff: 2
   Cluster Finding:
      Node Score Cutoff: 0.2  Haircut: true  Fluff: false  K-Core: 2  Max. Depth from Seed: 100

Cluster	Score (Density*#Nodes)	Nodes	Edges	Node IDs
1	6,432	38	124	FBgn0261394, FBgn0035325, FBgn0003941, FBgn0039858, FBgn0016081, FBgn0003942, FBgn0016131, FBgn0029134, FBgn0036923, FBgn0000166, FBgn0032192, FBgn0020369, FBgn0010317, FBgn0035443, FBgn0023175, FBgn0004597, FBgn0026371, FBgn0000546, FBgn0023091, FBgn0000719, FBgn0010315, FBgn0262081, FBgn0051679, FBgn0035397, FBgn0265011, FBgn0042102, FBgn0011741, FBgn0028685, FBgn0026238, FBgn0039147, FBgn0032596, FBgn0032196, FBgn0037345, FBgn0031057, FBgn0250746, FBgn0015283, FBgn0004107, FBgn0026380
2	3,778	10	17	FBgn0035325, FBgn0039858, FBgn0016081, FBgn0265011, FBgn0042102, FBgn0026371, FBgn0000546, FBgn0032196, FBgn0000166, FBgn0051679
3	3,529	18	31	FBgn0003114, FBgn0013762, FBgn0010602, FBgn0260943, FBgn0039970, FBgn0085432, FBgn0026063, FBgn0260862, FBgn0036643, FBgn0025674, FBgn0027572, FBgn0265998, FBgn0000439, FBgn0250791, FBgn0031106, FBgn0025334, FBgn0023526, FBgn0035641
4	3,333	10	17	FBgn0035162, FBgn0028509, FBgn0030668, FBgn0027363, FBgn0005655, FBgn0031997, FBgn0010316, FBgn0039210, FBgn0004106, FBgn0037613
5	3,333	7	10	FBgn0039487, FBgn0013953, FBgn0031515, FBgn0034645, FBgn0039789, FBgn0010548, FBgn0004003
6	3,333	7	10	FBgn0015614, FBgn0038601, FBgn0039832, FBgn0038819, FBgn0032031, FBgn0036950, FBgn0003145
7	3,083	49	79	FBgn0023517, FBgn0036819, FBgn0010287, FBgn0053109, FBgn0031187, FBgn0036786, FBgn0032312, FBgn0023534, FBgn0031710, FBgn0022936, FBgn0039748, FBgn0026239, FBgn0019650, FBgn0024956, FBgn0030362, FBgn0027592, FBgn0029522, FBgn0034461, FBgn0034499, FBgn0030352, FBgn0038829, FBgn0034363, FBgn0061196, FBgn0029858, FBgn0033737, FBgn0034759, FBgn0010497, FBgn0026088, FBgn0034919, FBgn0025463, FBgn0011648, FBgn0036105, FBgn0033729, FBgn0000359, FBgn0033816, FBgn0036988, FBgn0035981, FBgn0037382, FBgn0082598, FBgn0030011, FBgn0034200, FBgn0085382, FBgn0037987, FBgn0038941, FBgn0036595, FBgn0013755, FBgn0035425, FBgn0039413, FBgn0002865
8	3	3	4	FBgn0035539, FBgn0033702, FBgn0024987
9	3	3	4	FBgn0261068, FBgn0035675, FBgn0000426
10	3	3	3	FBgn0005278, FBgn0000566, FBgn0000565
11	3	3	3	FBgn0030507, FBgn0029874, FBgn0030761
12	2,667	4	4	FBgn0032492, FBgn0086134, FBgn0028693, FBgn0250843
13	2,667	4	4	FBgn0036183, FBgn0033631, FBgn0024189, FBgn0051663
14	2,667	4	4	FBgn0039348, FBgn0031952, FBgn0034371, FBgn0037516
15	2,667	4	4	FBgn0033687, FBgn0085431, FBgn0032865, FBgn0041006
16	2,333	13	15	FBgn0010040, FBgn0003479, FBgn0034354, FBgn0032330, FBgn0034583, FBgn0040371, FBgn0038029, FBgn0034109, FBgn0085405, FBgn0030630, FBgn0030623, FBgn0032906, FBgn0031957
